date,gen_mwh,latent_mwh,suppression_pct,censored
2025-03-25,294917.0,295118.7,0.06838788540504126,1
2025-03-26,298678.0,296456.6,-0.7437461915507648,0
2025-03-27,319602.5,320060.0,0.14314656487355304,1
2025-03-28,315129.5,315095.53,-0.010779298669272297,1
2025-03-29,313114.0,313715.7,0.19216243923938503,1
2025-03-30,293740.0,290680.75,-1.041482263225979,1
2025-03-31,266973.5,268101.44,0.42249043444386736,1
2025-04-01,268236.0,266290.47,-0.7253057941514207,0
2025-04-02,277136.0,277660.1,0.1891106712949675,0
2025-04-03,282184.5,288659.7,2.294664483697728,1
2025-04-04,283195.0,284515.28,0.46620923745122056,0
2025-04-05,295512.5,319415.12,8.088532633983325,0
2025-04-06,316646.5,335683.72,6.0121361676190865,1
2025-04-07,291527.0,315883.5,8.354800756019177,1
2025-04-08,329878.0,295878.72,-10.30662282722703,1
2025-04-09,337799.0,329738.94,-2.3860528006299564,1
2025-04-10,322300.0,320332.4,-0.6104851846106096,1
2025-04-11,281554.5,264522.5,-6.04927287612167,1
2025-04-12,317425.5,304329.7,-4.125633416344943,1
2025-04-13,313393.0,285894.84,-8.774336456142928,1
2025-04-14,313920.0,278772.34,-11.196373678007133,1
2025-04-15,306426.0,305334.7,-0.356142265995707,1
2025-04-16,301969.5,290073.72,-3.9393982670435257,1
2025-04-17,262667.0,264564.88,0.7225403267254737,1
2025-04-18,251592.5,253764.86,0.8634436141776947,1
2025-04-19,279972.5,284787.03,1.7196443400691042,1
2025-04-20,320110.5,304323.03,-4.931880944236444,1
2025-04-21,313286.0,308064.47,-1.6666979213881272,1
2025-04-22,328415.0,322652.44,-1.75465873970434,1
2025-04-23,337642.0,329324.16,-2.463509797359331,1
2025-04-24,350484.0,329733.94,-5.920402215222376,1
2025-04-25,335938.0,304716.8,-9.293735004673486,1
2025-04-26,331035.5,318244.78,-3.8638510824367756,1
2025-04-27,341154.0,300590.6,-11.89005734946681,1
2025-04-28,300587.0,278719.97,-7.274776104755032,1
2025-04-29,283024.5,263749.4,-6.810397598087803,1
2025-04-30,301714.0,284445.28,-5.723539096627928,1
2025-05-01,259473.0,266972.7,2.8903537169570725,1
2025-05-02,270101.5,259959.92,-3.7547285464908597,1
2025-05-03,303868.5,293086.06,-3.548389352631154,1
2025-05-04,316976.5,295100.66,-6.901408700644995,1
2025-05-05,324057.5,303729.22,-6.273047607291915,1
2025-05-06,313649.0,305578.22,-2.573188899055956,1
2025-05-07,327772.0,310222.84,-5.354074249783391,1
2025-05-08,349137.5,334145.2,-4.294099745802161,1
2025-05-09,335125.0,323698.47,-3.4096325997762023,1
2025-05-10,352093.5,361518.34,2.676801403604445,1
2025-05-11,353717.5,384298.06,8.64547626283687,1
2025-05-12,323827.5,319817.16,-1.2384197605206482,1
2025-05-13,338721.5,322430.34,-4.809602062461349,1
2025-05-14,344543.5,348067.22,1.022721006200955,1
2025-05-15,329270.5,319528.47,-2.958671138167557,1
2025-05-16,313023.5,300341.84,-4.051343189888302,1
2025-05-17,294815.5,290795.0,-1.3637342677030206,0
2025-05-18,298698.0,298624.22,-0.024700952132250542,1
2025-05-19,311294.5,310052.78,-0.39888875325455597,1
2025-05-20,306092.5,310962.78,1.5911142056731276,1
2025-05-21,306577.5,297250.72,-3.0422262723128757,1
2025-05-22,314782.5,300743.97,-4.459755942595289,1
2025-05-23,308236.5,284728.1,-7.626743182588691,1
2025-05-24,321016.0,298792.28,-6.922931800907117,1
2025-05-25,333713.0,305403.38,-8.483225106603577,1
2025-05-26,330298.5,306487.34,-7.208981042905127,1
2025-05-27,336140.0,323345.8,-3.8062079788183545,1
2025-05-28,343848.0,314481.62,-8.540510632605102,1
2025-05-29,274967.5,265687.5,-3.3749443116004585,1
2025-05-30,230598.0,227851.98,-1.1908236953486195,0
2025-05-31,301805.5,285448.03,-5.41987099307335,1
2025-06-01,307808.0,311316.47,1.1398237700124714,1
2025-06-02,305161.0,320013.62,4.867143901088289,1
2025-06-03,280754.0,303122.97,7.967462173290496,1
2025-06-04,294313.5,266779.25,-9.355415228999009,1
2025-06-05,284773.0,276876.6,-2.7728774322003824,0
2025-06-06,266597.5,266839.06,0.09060943932333032,0
2025-06-07,264225.0,264871.34,0.24461869618697119,0
2025-06-08,282715.5,281204.06,-0.5346143030714678,0
2025-06-09,294774.0,290247.25,-1.5356680032838743,1
2025-06-10,299717.5,300529.8,0.27102604952997655,1
2025-06-11,291665.5,306816.34,5.194595778383104,1
2025-06-12,313405.5,345915.62,10.373182665907276,1
2025-06-13,323982.5,331253.12,2.244141273062583,1
2025-06-14,336309.5,339719.34,1.0139005142584478,1
2025-06-15,342344.0,351460.5,2.6629647372233833,1
2025-06-16,337866.5,339113.72,0.36914543170156744,1
2025-06-17,314798.5,322466.3,2.4357843191755935,1
2025-06-18,307016.5,309057.03,0.6646324383217106,0
2025-06-19,303071.0,305197.84,0.7017641905691985,1
2025-06-20,289354.0,289978.0,0.21565279899362633,1
2025-06-21,319295.0,314684.1,-1.4440897132745545,1
2025-06-22,338634.0,335606.56,-0.8940146293638596,1
2025-06-23,340260.5,330720.28,-2.803798486747655,1
2025-06-24,339708.5,334329.1,-1.5835359580346098,1
2025-06-25,337799.0,336735.1,-0.3149524569344475,1
2025-06-26,337336.5,335930.9,-0.4166740776642919,1
2025-06-27,309823.5,318801.6,2.8978091558580887,1
2025-06-28,319954.5,329252.22,2.9059502991831687,1
2025-06-29,336408.5,335876.16,-0.15824325187978605,1
2025-06-30,336270.0,334051.47,-0.6597470038956832,1
2025-07-01,342736.5,346556.2,1.11446767414618,1
2025-07-02,339978.5,346636.5,1.958359131533327,1
2025-07-03,335376.0,343247.9,2.34718830506655,1
2025-07-04,305276.0,318049.38,4.184205440322852,1
2025-07-05,310723.0,324300.4,4.3696173923398085,1
2025-07-06,315525.5,326124.97,3.3593065378234144,1
2025-07-07,316247.0,307698.62,-2.7030691200232715,1
2025-07-08,296504.0,288787.2,-2.602599796292804,0
2025-07-09,280604.5,284324.3,1.3256424968238312,0
2025-07-10,288651.5,290504.5,0.641950587473139,1
2025-07-11,290830.0,293091.94,0.7777524670769864,0
2025-07-12,332632.5,322834.62,-2.9455555305028858,1
2025-07-13,347313.5,339266.4,-2.3169539191537303,1
2025-07-14,312096.5,313386.12,0.413213541324553,1
2025-07-15,309276.5,304248.72,-1.6256589976930025,0
2025-07-16,320129.5,324753.8,1.4445130798629968,1
2025-07-17,325340.0,329163.38,1.1751936435728805,1
2025-07-18,316102.0,316341.16,0.07565793636230556,1
2025-07-19,336840.5,334638.8,-0.6536290915136411,1
2025-07-20,344274.0,339157.72,-1.4861073592545515,1
2025-07-21,345232.5,359804.75,4.220995995452337,1
2025-07-22,352822.5,360937.84,2.3001208114561855,1
2025-07-23,363013.5,379315.88,4.490845381783326,1
2025-07-24,336805.0,373158.16,10.79353223675421,1
